product_key,product_name,category,subcategory,unit_cost,list_price
1965766,Smart LED Desk Lamp,Electronics,Budget,93.92,17.39
1619034,"4K OLED Smart TV 55""",Electronics,Budget,80.87,14.99
483225,Non-Stick Cookware Set 10-Piece,Home,Budget,45.47,63.99
1532183,E-Reader Paperwhite,Electronics,Standard,43.73,39.48
1847258,E-Reader Paperwhite,Grocery,Budget,137.51,120.49
228408,Ergonomic Gaming Mouse,Electronics,Premium,51.84,239.38
1181475,Smart Plug 4-Pack,Grocery,Standard,24.89,28.99
107086,Dash Cam Front & Rear,Grocery,Standard,48.88,363.0
1432975,Dash Cam Front & Rear,Electronics,Standard,153.8,69.49
652574,Smart LED Desk Lamp,Grocery,Budget,67.41,12.0
1191944,Dash Cam Front & Rear,Electronics,Premium,220.88,17.99
168525,Smart Plug 4-Pack,Grocery,Standard,154.17,78.99
1271803,Silicone Baking Mat Set,Home,Standard,143.98,135.99
199916,Aromatherapy Diffuser,Home,Budget,91.26,8.95
744552,Robot Vacuum Pro,Grocery,Standard,219.48,331.99
142778,Smart LED Desk Lamp,Electronics,Standard,177.72,283.89
879712,Robot Vacuum Pro,Apparel,Premium,126.52,10.99
103825,Webcam 1080p,Electronics,Standard,64.86,29.99
1683991,Cotton Percale Sheet Set Queen,Home,Standard,164.7,19.99
1691380,Ergonomic Gaming Mouse,Electronics,Premium,27.61,25.95
59878,Wireless Noise-Cancelling Headphones,Apparel,Budget,103.93,72.0
1934512,E-Reader Paperwhite,Grocery,Standard,56.6,47.0
735106,Wireless Earbuds Pro,Apparel,Budget,109.3,132.99
837686,Robot Vacuum Pro,Electronics,Premium,56.77,9.0
1675384,"4K OLED Smart TV 55""",Grocery,Premium,165.96,109.31
1475277,USB-C Laptop Stand,Grocery,Standard,115.95,432.99
1947843,Smart Plug 4-Pack,Electronics,Premium,34.89,7.99
413740,Ergonomic Gaming Mouse,Electronics,Premium,26.5,14.95
706872,Robot Vacuum Pro,Electronics,Standard,162.93,56.0
290033,E-Reader Paperwhite,Grocery,Standard,95.94,140.99
884902,Silicone Baking Mat Set,Home,Standard,41.3,20.0
1509815,Ergonomic Gaming Mouse,Grocery,Standard,63.86,16.0
1076291,Instant Pot 6Qt,Home,Premium,82.24,28.99
1041095,Mechanical Keyboard,Electronics,Budget,64.09,70.99
1078107,Ergonomic Gaming Mouse,Grocery,Budget,43.33,129.99
412779,Portable Charger 20000mAh,Electronics,Standard,289.27,59.95
1129455,WiFi 6 Router,Electronics,Standard,46.0,34.0
1725061,Smart LED Desk Lamp,Electronics,Standard,42.2,38.0
1124986,Air Purifier HEPA,Home,Premium,107.67,21.99
64040,USB-C Laptop Stand,Grocery,Standard,50.08,43.99
1693882,Robot Vacuum Pro,Apparel,Standard,89.2,10.95
1973706,WiFi 6 Router,Grocery,Premium,240.74,62.8
1317246,French Press Coffee Maker,Home,Premium,190.3,31.54
266877,Dish Rack Stainless Steel,Home,Standard,69.35,29.0
727551,Pour-Over Coffee Set,Home,Budget,27.78,16.94
1185017,"Tablet 10.5"" WiFi",Electronics,Budget,41.2,14.99
1578170,"27"" Monitor 144Hz",Grocery,Standard,70.99,47.0
198385,Wireless Earbuds Pro,Electronics,Standard,62.08,5.0
1523569,Wireless Earbuds Pro,Grocery,Standard,78.35,49.95
163186,Portable Charger 20000mAh,Apparel,Premium,57.29,19.0
1856529,Smart LED Desk Lamp,Grocery,Standard,176.06,23.99
1149795,Dash Cam Front & Rear,Electronics,Premium,111.37,48.0
311656,Digital Kitchen Scale,Home,Budget,196.5,10.0
107109,Instant Pot 6Qt,Home,Premium,210.79,50.99
224745,WiFi 6 Router,Electronics,Standard,32.37,61.0
1378571,Silicone Baking Mat Set,Home,Standard,55.35,9.56
1422563,Smart Home Hub,Electronics,Budget,38.63,12.99
38368,Silicone Baking Mat Set,Home,Standard,175.26,50.99
257462,Steam Mop,Home,Budget,148.98,171.95
1752113,Wireless Earbuds Pro,Grocery,Standard,93.29,79.0
1714471,Ergonomic Gaming Mouse,Electronics,Standard,324.83,11.99
796313,Glass Food Storage Containers,Home,Budget,295.72,60.99
926040,WiFi 6 Router,Grocery,Premium,44.36,113.99
1628599,Cotton Percale Sheet Set Queen,Home,Premium,72.82,102.99
1665911,Cotton Percale Sheet Set Queen,Home,Premium,37.13,20.0
798859,Wireless Noise-Cancelling Headphones,Grocery,Budget,192.55,5.99
1500950,Robot Vacuum Pro,Grocery,Standard,54.44,26.99
1097532,"27"" Monitor 144Hz",Grocery,Premium,67.22,24.99
1474430,WiFi 6 Router,Grocery,Premium,226.57,24.95
1731284,Aromatherapy Diffuser,Home,Premium,60.98,99.99
1451907,Smart Plug 4-Pack,Electronics,Premium,100.67,51.99
1066742,Wireless Earbuds Pro,Grocery,Premium,165.23,54.18
153567,"Cast Iron Skillet 12""",Home,Standard,47.73,22.0
645366,Robot Vacuum Pro,Electronics,Premium,158.54,36.99
1334314,Smart Plug 4-Pack,Electronics,Premium,77.55,55.75
408360,Portable SSD 1TB,Apparel,Budget,28.53,53.49
1665407,Ergonomic Gaming Mouse,Electronics,Premium,105.34,5.0
1268389,Smart Plug 4-Pack,Grocery,Premium,61.36,134.99
1358483,Ergonomic Gaming Mouse,Apparel,Standard,84.63,6.99
1662890,Electric Toothbrush Smart,Electronics,Premium,138.63,84.99
269358,Pour-Over Coffee Set,Home,Standard,121.28,33.95
1831811,Wireless Earbuds Pro,Apparel,Premium,63.61,51.99
916530,Wireless Earbuds Pro,Electronics,Premium,77.36,147.99
1300687,USB-C Laptop Stand,Electronics,Premium,165.75,25.99
490581,Wireless Earbuds Pro,Grocery,Standard,58.56,9.99
612985,Action Camera 4K,Electronics,Premium,158.37,23.61
642221,Wireless Earbuds Pro,Electronics,Standard,79.73,36.99
1113914,Portable Charger 20000mAh,Grocery,Premium,234.95,5.0
1544811,"Tablet 10.5"" WiFi",Electronics,Premium,81.69,13.49
1763768,Smart LED Desk Lamp,Electronics,Standard,74.87,127.49
766476,Mechanical Keyboard,Apparel,Standard,61.46,21.95
733795,Bamboo Cutting Board Set,Home,Standard,62.58,15.99
1603748,Mechanical Keyboard,Apparel,Standard,22.45,172.0
1721364,Silicone Baking Mat Set,Home,Premium,75.89,63.99
1344794,Smart LED Desk Lamp,Electronics,Standard,140.06,51.0
176538,Smart Home Hub,Electronics,Premium,143.22,41.99
1789141,"4K OLED Smart TV 55""",Grocery,Budget,116.73,12.99
30337,"Cast Iron Skillet 12""",Home,Premium,72.03,105.99
674064,Robot Vacuum Pro,Electronics,Budget,26.98,5.0
1723577,"4K OLED Smart TV 55""",Electronics,Standard,146.56,28.6
602693,"4K OLED Smart TV 55""",Apparel,Premium,80.76,5.99
1227147,WiFi 6 Router,Grocery,Premium,35.06,12.99
673256,E-Reader Paperwhite,Electronics,Premium,78.1,55.95
1565569,Smart LED Desk Lamp,Electronics,Standard,142.49,12.45
1305104,Portable Charger 20000mAh,Apparel,Premium,306.7,6.95
1527499,"Tablet 10.5"" WiFi",Electronics,Premium,151.79,133.99
398634,"Tablet 10.5"" WiFi",Grocery,Premium,42.57,168.99
25640,"4K OLED Smart TV 55""",Electronics,Premium,100.85,194.49
446356,Portable SSD 1TB,Electronics,Budget,151.12,56.49
1104084,French Press Coffee Maker,Home,Standard,111.92,64.0
1274875,Under-Cabinet LED Lights,Home,Premium,143.31,213.99
542022,Memory Foam Pillow,Home,Budget,53.78,17.99
1593229,Dash Cam Front & Rear,Electronics,Standard,92.25,900.0
1023444,Ergonomic Gaming Mouse,Electronics,Premium,400.0,123.0
1817586,"4K OLED Smart TV 55""",Apparel,Standard,99.59,28.0
611102,Smart Plug 4-Pack,Apparel,Premium,120.92,14.8
472586,Smart Plug 4-Pack,Grocery,Standard,50.47,34.99
437488,Smartwatch Series 5,Electronics,Premium,61.04,33.0
770439,Cotton Percale Sheet Set Queen,Home,Premium,65.28,207.99
722367,Cotton Percale Sheet Set Queen,Home,Budget,196.16,6.0
1278967,Electric Toothbrush Smart,Apparel,Standard,28.17,20.99
1945366,Smart Plug 4-Pack,Grocery,Premium,91.01,128.99
133626,Wireless Earbuds Pro,Grocery,Premium,145.18,49.99
1748858,"Cast Iron Skillet 12""",Home,Premium,203.7,43.99
503142,Portable SSD 1TB,Grocery,Budget,195.84,34.49
800195,Webcam 1080p,Grocery,Premium,61.18,20.99
543896,Ergonomic Gaming Mouse,Grocery,Standard,74.47,19.99
1968536,Smart Plug 4-Pack,Electronics,Premium,170.53,21.0
577307,Wireless Earbuds Pro,Grocery,Standard,323.04,5.0
1668290,Robot Vacuum Pro,Apparel,Budget,41.83,74.99
614341,Smartwatch Series 5,Electronics,Premium,400.0,10.49
1013467,Glass Food Storage Containers,Home,Standard,42.79,58.99
1650894,WiFi 6 Router,Electronics,Standard,35.37,30.99
1092414,USB-C Laptop Stand,Electronics,Standard,73.18,30.0
139825,Smart Home Hub,Grocery,Budget,87.61,26.09
1635300,Wireless Earbuds Pro,Electronics,Budget,75.68,23.99
3582,Smart LED Desk Lamp,Grocery,Budget,23.01,13.99
1698636,Portable Charger 20000mAh,Electronics,Standard,120.55,67.0
1259610,Memory Foam Pillow,Home,Premium,166.25,43.49
1051449,"27"" Monitor 144Hz",Grocery,Standard,135.63,27.99
745985,Robot Vacuum Pro,Grocery,Premium,94.62,102.95
825119,"4K OLED Smart TV 55""",Apparel,Premium,47.0,13.0
1630347,Portable SSD 1TB,Electronics,Premium,23.16,181.49
1486251,Robot Vacuum Pro,Electronics,Budget,399.98,33.21
596569,Smart LED Desk Lamp,Apparel,Premium,181.44,37.95
1952087,Cordless Vacuum,Home,Premium,20.2,8.0
1874615,Smart Plug 4-Pack,Grocery,Budget,106.23,5.0
1534161,Mechanical Keyboard,Grocery,Budget,66.32,12.49
1471215,WiFi 6 Router,Electronics,Standard,79.27,36.99
1411695,Wireless Earbuds Pro,Electronics,Premium,105.94,100.98
1866600,Smartwatch Series 5,Electronics,Standard,73.17,154.49
300576,Cordless Vacuum,Home,Premium,119.74,17.95
85176,"27"" Monitor 144Hz",Grocery,Premium,49.28,62.49
1550192,Wireless Earbuds Pro,Electronics,Budget,42.57,20.49
1673996,Aromatherapy Diffuser,Home,Budget,158.82,218.0
1574564,Wireless Earbuds Pro,Apparel,Standard,73.7,6.99
1309960,French Press Coffee Maker,Home,Premium,81.39,39.99
440132,Webcam 1080p,Grocery,Premium,85.22,47.99
1860615,Under-Cabinet LED Lights,Home,Standard,57.5,29.95
215036,Smartwatch Series 5,Electronics,Standard,126.74,160.0
1990977,"27"" Monitor 144Hz",Electronics,Budget,116.08,18.99
1852688,Shower Curtain Liner,Home,Standard,101.7,53.0
1731565,Portable SSD 1TB,Grocery,Standard,329.36,69.99
1634060,Shower Curtain Liner,Home,Standard,125.41,34.99
226987,Glass Food Storage Containers,Home,Standard,81.58,79.0
1775349,Dash Cam Front & Rear,Grocery,Budget,93.94,12.99
1928556,Portable Charger 20000mAh,Electronics,Budget,88.1,43.66
688004,Ergonomic Gaming Mouse,Electronics,Premium,177.17,6.1
1818404,Cotton Percale Sheet Set Queen,Home,Budget,94.3,21.0
991787,Memory Foam Pillow,Home,Premium,62.29,101.0
1765320,Ergonomic Gaming Mouse,Grocery,Premium,51.82,24.95
764809,"4K OLED Smart TV 55""",Electronics,Premium,84.12,473.8
982932,Silicone Baking Mat Set,Home,Standard,77.61,153.49
313469,Smart LED Desk Lamp,Electronics,Standard,81.44,572.99
1039765,Aromatherapy Diffuser,Home,Budget,175.47,23.49
1290077,Electric Toothbrush Smart,Electronics,Premium,38.93,32.29
1262802,Ceramic Dinnerware Set 12-Piece,Home,Premium,66.96,24.99
418591,E-Reader Paperwhite,Electronics,Standard,155.17,13.0
323906,"4K OLED Smart TV 55""",Grocery,Standard,72.99,28.99
1455552,Ergonomic Gaming Mouse,Electronics,Premium,70.11,14.95
923851,Ceramic Dinnerware Set 12-Piece,Home,Standard,118.7,5.0
1977334,"4K OLED Smart TV 55""",Grocery,Premium,137.8,22.99
406183,Silicone Baking Mat Set,Home,Premium,110.67,20.99
460580,Memory Foam Pillow,Home,Standard,67.25,19.99
1866009,Portable SSD 1TB,Electronics,Premium,80.0,51.95
432513,Wireless Earbuds Pro,Grocery,Premium,115.62,5.0
804833,USB-C Laptop Stand,Grocery,Standard,93.13,364.49
1235087,Action Camera 4K,Apparel,Standard,78.43,141.99
1749621,Under-Cabinet LED Lights,Home,Premium,77.44,84.0
1526704,Action Camera 4K,Electronics,Standard,147.73,89.0
139096,Robot Vacuum Pro,Electronics,Budget,82.94,69.0
1064709,Smartwatch Series 5,Apparel,Premium,94.43,28.99
610475,Wireless Earbuds Pro,Electronics,Budget,82.64,752.46
401652,"4K OLED Smart TV 55""",Grocery,Standard,190.32,59.49
1722955,Pour-Over Coffee Set,Home,Premium,200.38,109.0
1817693,Air Purifier HEPA,Home,Standard,53.1,5.0
1097526,Digital Kitchen Scale,Home,Premium,73.46,230.95
528381,"4K OLED Smart TV 55""",Grocery,Premium,86.39,110.95
1058776,Wireless Earbuds Pro,Electronics,Standard,364.43,30.99
1147594,"27"" Monitor 144Hz",Grocery,Premium,117.34,5.0
1859527,Wireless Earbuds Pro,Electronics,Premium,58.4,170.92
533552,Electric Toothbrush Smart,Electronics,Budget,156.17,42.99
768150,Smart Plug 4-Pack,Grocery,Budget,77.95,59.99
1408470,Smart LED Desk Lamp,Electronics,Budget,101.09,68.0
119649,Smart Plug 4-Pack,Electronics,Premium,50.77,32.89
1832671,Ergonomic Gaming Mouse,Electronics,Standard,184.79,5.0
451506,Under-Cabinet LED Lights,Home,Budget,161.19,65.95
596204,"27"" Monitor 144Hz",Electronics,Standard,76.44,43.99
748698,E-Reader Paperwhite,Electronics,Premium,76.98,52.99
1331890,Smart Plug 4-Pack,Grocery,Standard,160.76,38.95
732792,Wireless Earbuds Pro,Grocery,Premium,167.95,101.0
476489,Dash Cam Front & Rear,Electronics,Premium,108.15,32.0
454946,"27"" Monitor 144Hz",Apparel,Standard,194.88,5.0
241741,Dash Cam Front & Rear,Apparel,Budget,50.84,14.99
1909946,Portable SSD 1TB,Electronics,Standard,54.67,7.99
819029,Under-Cabinet LED Lights,Home,Standard,191.58,35.49
1211282,Bamboo Cutting Board Set,Home,Standard,34.8,8.0
1663823,Robot Vacuum Pro,Electronics,Premium,113.62,14.99
122889,Dash Cam Front & Rear,Electronics,Premium,130.65,20.0
20469,Bamboo Cutting Board Set,Home,Budget,137.0,5.0
1026579,Wireless Noise-Cancelling Headphones,Electronics,Standard,76.44,85.99
283800,Digital Kitchen Scale,Home,Standard,67.52,81.99
1622267,Wireless Earbuds Pro,Electronics,Budget,75.69,24.19
884953,Smart Plug 4-Pack,Grocery,Premium,141.16,104.0
1210836,Smart LED Desk Lamp,Grocery,Premium,79.95,21.99
98845,Aromatherapy Diffuser,Home,Premium,34.31,5.0
565959,Ergonomic Gaming Mouse,Electronics,Premium,80.45,27.62
59573,Silicone Baking Mat Set,Home,Budget,103.79,48.39
795963,Portable SSD 1TB,Electronics,Standard,46.11,39.99
123853,Robot Vacuum Pro,Apparel,Premium,71.47,25.2
806122,Dish Rack Stainless Steel,Home,Premium,205.28,55.0
1145750,Dash Cam Front & Rear,Grocery,Premium,323.1,288.39
727086,Webcam 1080p,Electronics,Budget,166.09,49.99
1180456,Wireless Noise-Cancelling Headphones,Electronics,Standard,38.07,161.47
1197043,Webcam 1080p,Electronics,Premium,71.38,5.0
858314,Smart LED Desk Lamp,Electronics,Premium,192.15,87.99
366611,Under-Cabinet LED Lights,Home,Budget,20.51,5.0
867597,Smart LED Desk Lamp,Electronics,Budget,83.4,69.99
1670378,Portable Charger 20000mAh,Electronics,Standard,49.34,24.49
721734,Smart Plug 4-Pack,Electronics,Premium,269.29,83.99
355342,Wireless Earbuds Pro,Apparel,Budget,93.54,5.0
1870340,Portable Charger 20000mAh,Grocery,Budget,197.52,14.95
118815,Portable Bluetooth Speaker,Electronics,Standard,62.29,26.99
1140740,Action Camera 4K,Grocery,Premium,46.51,5.0
7620,Bamboo Cutting Board Set,Home,Premium,103.02,38.99
1307406,Robot Vacuum Pro,Electronics,Standard,193.54,132.49
905446,Portable Charger 20000mAh,Electronics,Standard,106.17,12.99
1056438,"Tablet 10.5"" WiFi",Electronics,Premium,173.85,8.99
1709098,WiFi 6 Router,Electronics,Premium,57.66,33.95
1468239,Digital Kitchen Scale,Home,Standard,113.23,44.49
1914593,Webcam 1080p,Apparel,Standard,71.59,38.99
648278,Shower Curtain Liner,Home,Standard,136.12,152.56
1151520,Digital Kitchen Scale,Home,Budget,57.24,59.99
363838,E-Reader Paperwhite,Electronics,Budget,55.44,105.95
1829600,"4K OLED Smart TV 55""",Grocery,Premium,153.2,7.75
1998703,Ergonomic Gaming Mouse,Electronics,Standard,306.81,5.0
212750,Glass Food Storage Containers,Home,Standard,104.16,60.0
1899187,Ergonomic Gaming Mouse,Electronics,Standard,68.14,13.99
546333,Bamboo Cutting Board Set,Home,Premium,199.27,22.99
1653541,Cotton Percale Sheet Set Queen,Home,Standard,57.99,37.49
1875047,Webcam 1080p,Electronics,Budget,22.47,15.0
1209634,Dash Cam Front & Rear,Grocery,Standard,66.86,65.0
1792196,"27"" Monitor 144Hz",Electronics,Standard,67.59,78.0
1273620,Dash Cam Front & Rear,Electronics,Standard,49.13,41.99
270942,Stainless Steel Knife Set,Home,Budget,186.42,16.99
1583624,"Tablet 10.5"" WiFi",Grocery,Standard,182.77,30.0
750370,WiFi 6 Router,Grocery,Standard,140.56,16.95
600455,"Tablet 10.5"" WiFi",Apparel,Premium,147.63,10.99
1326502,Memory Foam Pillow,Home,Budget,162.93,187.99
1904693,Wireless Earbuds Pro,Electronics,Premium,99.55,14.0
19220,Portable Bluetooth Speaker,Grocery,Budget,298.98,5.0
1304912,"Cast Iron Skillet 12""",Home,Premium,130.71,34.99
463699,Action Camera 4K,Electronics,Budget,121.22,77.4
1387822,Pour-Over Coffee Set,Home,Premium,33.45,25.99
621476,Robot Vacuum Pro,Grocery,Budget,195.1,11.0
824107,Portable SSD 1TB,Electronics,Premium,248.75,146.49
17620,WiFi 6 Router,Grocery,Premium,91.58,5.0
1199323,Pour-Over Coffee Set,Home,Budget,84.24,7.99
654928,USB-C Laptop Stand,Electronics,Standard,349.94,80.49
1588564,Webcam 1080p,Grocery,Budget,51.87,43.99
935560,Cotton Percale Sheet Set Queen,Home,Premium,159.07,68.99
943916,E-Reader Paperwhite,Electronics,Standard,76.66,354.99
141352,French Press Coffee Maker,Home,Premium,125.45,10.0
325307,Robot Vacuum Pro,Apparel,Standard,122.73,17.99
956015,Ergonomic Gaming Mouse,Grocery,Premium,133.79,198.99
126518,Cordless Vacuum,Home,Premium,106.91,143.99
200265,Cotton Percale Sheet Set Queen,Home,Premium,48.74,47.99
1789677,Wireless Noise-Cancelling Headphones,Electronics,Standard,54.53,31.0
1404443,Smart Plug 4-Pack,Apparel,Budget,128.95,125.71
376588,Portable Charger 20000mAh,Electronics,Standard,46.97,40.0
1014087,"Tablet 10.5"" WiFi",Grocery,Premium,50.23,62.8
1608315,"Cast Iron Skillet 12""",Home,Standard,148.27,33.99
1064023,Portable SSD 1TB,Apparel,Premium,94.2,34.99
